"family","description"
"PF00830","Ribosomal L28 family"
"PF00831","Ribosomal L29 protein"
"PF00832","Ribosomal L39 protein"
"PF00833","Ribosomal S17"
"PF00834","Ribulose-phosphate 3 epimerase family"
"PF00836","Stathmin"
"PF00837","Iodothyronine deiodinase"
"PF00838","Translationally controlled tumour protein"
"PF00840","Glycosyl hydrolase family 7"
"PF00842","Ala_racemase_C"
"PF00846","Hantavirus nucleocapsid protein"
"PF00847","AP2"
"PF00848","Ring hydroxylating alpha subunit (catalytic domain)"
"PF00849","RNA pseudouridylate synthase"
"PF00850","Histone deacetylase domain"
"PF00851","Peptidase_C6"
"PF00852","Glycosyltransferase family 10 (fucosyltransferase)"
"PF00854","POT family"
"PF00855","PWWP domain"
"PF00856","SET domain"
"PF00857","Isochorismatase family"
"PF00858","Amiloride-sensitive sodium channel"
"PF00859","CTF/NF-I family transcription modulation region"
"PF00860","Permease family"
"PF00861","Ribosomal L18p/L5e family"
"PF00863","Peptidase family C4"
"PF00864","ATP P2X receptor"
"PF00866","Ring hydroxylating beta subunit"
"PF00867","XPG I-region"
"PF00871","Acetokinase family"
"PF00872","Transposase, Mutator family"
"PF00873","AcrB/AcrD/AcrF family"
"PF00874","PRD"
"PF00875","DNA photolyase"
"PF00876","Innexin"
"PF00877","NLPC_P60"
"PF00878","Cation-independent mannose-6-phosphate receptor"
"PF00879","Defensin propeptide"
"PF00880","Nebulin"
"PF00881","Nitroreductase family"
"PF00882","Zinc dependent phospholipase C"
"PF00883","Peptidase M17, leucyl aminopeptidase, C-terminal"
"PF00884","Sulfatase"
"PF00885","6,7-dimethyl-8-ribityllumazine synthase"
"PF00886","Ribosomal protein S16"
"PF00887","Acyl CoA binding protein"
"PF00888","Cullin family"
"PF00889","Translation elongation factor EFTs/EF1B, dimerisation"
"PF00890","FAD binding domain"
"PF00891","O-methyltransferase"
"PF00892","EamA-like transporter family"
"PF00893","Small Multidrug Resistance protein"
"PF00895","ATP-synt_8"
"PF00896","Mtap_PNP"
"PF00899","ThiF family"
"PF00900","Ribosomal family S4e"
"PF00902","TatC"
"PF00903","Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily"
"PF00904","Involucrin"
"PF00905","Transpeptidase"
"PF00906","Hepatitis_core"
"PF00907","T-box"
"PF00908","dTDP-4-dehydrorhamnose 3,5-epimerase"
"PF00909","Ammonium Transporter Family"
"PF00910","RNA_helicase"
"PF00912","Transgly"
"PF00913","Trypanosome variant surface glycoprotein (A-type)"
"PF00916","Sulfate transporter family"
"PF00917","MATH domain"
"PF00918","Gastrin"
"PF00919","Uncharacterized protein family UPF0004"
"PF00920","Dehydratase family"
"PF00922","Vesiculovirus phosphoprotein"
"PF00923","Transaldolase"
"PF00924","Mechanosensitive ion channel"
"PF00925","GTP cyclohydrolase II"
"PF00926","3,4-dihydroxy-2-butanone 4-phosphate synthase"
"PF00928","Adaptor complexes medium subunit family"
"PF00929","Exonuclease"
"PF00930","Dipeptidyl peptidase IV (DPP IV) N-terminal region"
"PF00931","NB-ARC domain"
"PF00932","Lamin Tail Domain"
"PF00933","Glycosyl hydrolase family 3 N terminal domain"
"PF00934","PE"
"PF00935","Ribosomal protein L44"
"PF00937","Coronavirus nucleocapsid protein"
"PF00939","Sodium:sulfate symporter transmembrane region"
"PF00940","DNA-dependent RNA polymerase"
"PF00941","FAD binding domain in molybdopterin dehydrogenase"
"PF00942","Cellulose binding domain"
"PF00944","Alphavirus core protein"
"PF00945","Rhabdovirus nucleocapsid protein"
"PF00946","Mononegavirales RNA dependent RNA polymerase"
"PF00947","Picornavirus core protein 2A"
"PF00948","Flavivirus non-structural Protein NS1"
"PF00949","Peptidase_S7"
"PF00950","ABC-3"
"PF00953","Glycosyl transferase family 4"
"PF00954","S-locus glycoprotein family"
"PF00955","HCO3- transporter family"
"PF00956","Nucleosome assembly protein (NAP)"
"PF00957","Synaptobrevin"
"PF00958","GMP synthase C terminal domain"
"PF00959","Glycoside hydrolase, family 24"
"PF00961","LAGLIDADG_1"
"PF00962","Adenosine/AMP deaminase"
"PF00965","Tissue inhibitor of metalloproteinase"
"PF00967","Barwin family"
"PF00970","Oxidoreductase FAD-binding domain"
"PF00972","Flavivirus RNA-directed RNA polymerase"
"PF00975","Thioesterase domain"
"PF00977","Histidine biosynthesis protein"
"PF00978","RdRP_2"
"PF00979","Reovirus outer capsid protein, Sigma 3"
"PF00982","Glycosyltransferase family 20"
"PF00984","UDP-glucose/GDP-mannose dehydrogenase family, central domain"
"PF00986","DNA_gyraseB_C"
"PF00988","Carbamoyl-phosphate synthase small chain, CPSase domain"
"PF00989","PAS fold"
"PF00990","GGDEF domain"
"PF00991","ParA"
"PF00992","Troponin"
"PF00993","MHC_II_alpha"
"PF00994","Probable molybdopterin binding domain"
"PF00995","Sec1 family"
"PF00996","GDP dissociation inhibitor"
"PF00999","Sodium/hydrogen exchanger family"
"PF01000","RNA polymerase Rpb3/RpoA insert domain"
"PF01001","HCV_NS4b"
"PF01002","Flavivirus non-structural protein NS2B"
"PF01004","Flavi_M"
"PF01007","IRK"
"PF01008","Initiation factor 2 subunit family"
"PF01010","Oxidored_q1_C"
"PF01011","Pyrrolo-quinoline quinone"
"PF01012","Electron transfer flavoprotein domain"
"PF01014","Uricase"
"PF01015","Ribosomal S3Ae family"
"PF01016","Ribosomal L27 protein"
"PF01017","STAT protein, all-alpha domain"
"PF01018","GTP1/OBG"
"PF01019","Gamma-glutamyltranspeptidase"
"PF01020","Ribosomal L40e family"
"PF01021","TYA transposon protein"
"PF01022","HTH_5"
"PF01023","S_100"
"PF01025","GrpE"
"PF01026","TatD related DNase"
"PF01027","Inhibitor of apoptosis-promoting Bax1"
"PF01028","Eukaryotic DNA topoisomerase I, catalytic core"
"PF01029","NusB"
"PF01030","Receptor L domain"
"PF01031","Dynamin central region"
"PF01032","FecCD"
"PF01033","Somatomedin_B"
"PF01034","Syndecan domain"
"PF01035","6-O-methylguanine DNA methyltransferase, DNA binding domain"
"PF01036","Bacteriorhodopsin-like protein"
"PF01037","AsnC family"
"PF01039","Carboxyl transferase domain"
"PF01040","UbiA prenyltransferase family"
"PF01041","DegT/DnrJ/EryC1/StrS aminotransferase family"
"PF01042","Endoribonuclease L-PSP"
"PF01043","SecA preprotein cross-linking domain"
"PF01044","Vinculin"
"PF01047","MarR"
"PF01048","Phosphorylase superfamily"
"PF01049","Cadherin_C"
"PF01050","Mannose-6-phosphate isomerase, type II, C-terminal"
"PF01051","Rep_3"
"PF01052","SpoA"
"PF01053","Cys/Met metabolism PLP-dependent enzyme"
"PF01055","Glycosyl hydrolases family 31"
"PF01056","Myc amino-terminal region"
"PF01057","Parvovirus non-structural protein NS1"
"PF01058","NADH ubiquinone oxidoreductase, 20 Kd subunit"
"PF01059","NADH-ubiquinone oxidoreductase chain 4, amino terminus"
"PF01061","ABC-2 type transporter"
"PF01062","Bestrophin, RFP-TM, chloride channel"
"PF01063","Aminotransferase class IV"
"PF01064","Activin_recp"
"PF01066","CDP-alcohol phosphatidyltransferase"
"PF01067","Calpain large subunit, domain III"
"PF01068","ATP dependent DNA ligase domain"
"PF01070","FMN-dependent dehydrogenase"
"PF01071","Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain"
"PF01073","3-beta hydroxysteroid dehydrogenase/isomerase family"
"PF01074","Glycosyl hydrolases family 38 N-terminal domain"
"PF01075","Glyco_transf_9"
"PF01076","Mob_Pre"
"PF01077","Nitrite and sulphite reductase 4Fe-4S domain"
"PF01078","Magnesium chelatase, subunit ChlI"
"PF01079","Hint"
"PF01080","Presenilin"
"PF01082","Cu2_monooxygen"
"PF01083","Cutinase"
"PF01084","Ribosomal protein S18"
"PF01086","Clathrin light chain"
"PF01087","Galactose-1-phosphate uridyl transferase, N-terminal domain"
"PF01088","Ubiquitin carboxyl-terminal hydrolase, family 1"
"PF01089","HMMPfam"
"PF01090","Ribosomal protein S19e"
"PF01092","Ribosomal protein S6e"
"PF01093","Clusterin"
"PF01094","Receptor family ligand binding region"
"PF01095","Pectinesterase"
"PF01096","Transcription factor S-II (TFIIS)"
"PF01097","Defensin_2"
"PF01098","Cell cycle protein"
"PF01101","HMG14 and HMG17"
"PF01102","Glycophorin A"
"PF01103","Surface antigen"
"PF01105","emp24/gp25L/p24 family/GOLD"
"PF01106","NifU-like domain"
"PF01108","Tissue_fac"
"PF01109","Granulocyte-macrophage colony-stimulating factor"
"PF01110","Ciliary neurotrophic factor"
"PF01111","Cyclin-dependent kinase regulatory subunit"
"PF01112","Asparaginase"
"PF01113","DapB_N"
"PF01115","F-actin capping protein, beta subunit"
"PF01116","Fructose-bisphosphate aldolase class-II"
"PF01117","Aerolysin toxin"
"PF01118","Semialdehyde dehydrogenase, NAD binding domain"
"PF01119","DNA mismatch repair protein, C-terminal domain"
"PF01120","Alpha_L_fucos"
"PF01121","Dephospho-CoA kinase"
"PF01124","MAPEG family"
"PF01125","G10 protein"
"PF01126","Heme oxygenase"
"PF01127","Succinate dehydrogenase/Fumarate reductase transmembrane subunit"
"PF01128","IspD"
"PF01129","NAD:arginine ADP-ribosyltransferase"
"PF01131","DNA topoisomerase"
"PF01132","Elongation factor P (EF-P) OB domain"
"PF01133","Enhancer of rudimentary"
"PF01134","Glucose inhibited division protein A"
"PF01135","Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)"
"PF01136","Peptidase family U32"
"PF01137","RNA 3'-terminal phosphate cyclase"
"PF01138","3' exoribonuclease family, domain 1"
"PF01139","tRNA-splicing ligase RtcB"
"PF01142","tRNA pseudouridine synthase D (TruD)"
"PF01144","Coenzyme A transferase"
"PF01145","SPFH domain / Band 7 family"
"PF01148","Cytidylyltransferase family"
"PF01149","Formamidopyrimidine-DNA glycosylase N-terminal domain"
"PF01150","GDA1/CD39 (nucleoside phosphatase) family"
"PF01151","GNS1/SUR4 family"
"PF01152","Bac_globin"
"PF01153","Glypican"
"PF01154","Hydroxymethylglutaryl-coenzyme A synthase N terminal"
"PF01156","Inosine-uridine preferring nucleoside hydrolase"
"PF01157","Ribosomal protein L21e"
"PF01158","Ribosomal protein L36e"
"PF01159","Ribosomal protein L6e"
"PF01161","Phosphatidylethanolamine-binding protein"
"PF01162","GatB"
"PF01163","RIO1 family"
"PF01165","Ribosomal protein S21"
"PF01167","Tub family"
"PF01168","Alanine racemase, N-terminal domain"
"PF01169","Uncharacterized protein family UPF0016"
"PF01170","Putative RNA methylase family UPF0020"
"PF01171","PP-loop family"
"PF01172","Shwachman-Bodian-Diamond syndrome (SBDS) protein"
"PF01174","SNO glutamine amidotransferase family"
"PF01175","Urocanase"
"PF01176","Translation initiation factor 1A / IF-1"
"PF01177","Asp/Glu/Hydantoin racemase"
"PF01179","Copper amine oxidase, enzyme domain"
"PF01180","Dihydroorotate dehydrogenase"
"PF01182","Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase"
"PF01183","Glycoside hydrolase, family 25"
"PF01184","GPR1/FUN34/yaaH family"
"PF01185","Fungal hydrophobin"
"PF01186","Lysyl oxidase"
"PF01187","Macrophage migration inhibitory factor (MIF)"
"PF01188","Mandelate racemase / muconate lactonizing enzyme, C-terminal domain"
"PF01189","NOL1/NOP2/sun family"
"PF01190","Pollen_Ole_e_I"
"PF01191","RNA polymerase Rpb5, C-terminal domain"
"PF01192","RNA polymerase Rpb6"
"PF01193","RNA polymerase Rpb3/Rpb11 dimerisation domain"
"PF01194","RNA polymerases N / 8 kDa subunit"
"PF01195","Peptidyl-tRNA hydrolase"
"PF01196","Ribosomal protein L17"
"PF01197","Ribosomal_L31"
"PF01198","Ribosomal protein L31e"
"PF01199","Ribosomal protein L34e"
"PF01200","Ribosomal protein S28e"
"PF01201","Ribosomal protein S8e"
"PF01202","Shikimate kinase"
"PF01204","Trehalase"
"PF01205","Uncharacterized protein family UPF0029"
"PF01206","SirA"
"PF01207","Dihydrouridine synthase (Dus)"
"PF01208","Uroporphyrinogen decarboxylase (URO-D)"
"PF01209","ubiE/COQ5 methyltransferase family"
"PF01210","NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus"
"PF01211","HMMPfam"
"PF01212","Beta-eliminating lyase"
"PF01213","Adenylate cyclase associated (CAP) N terminal"
"PF01214","Casein kinase II regulatory subunit"
"PF01215","Cytochrome c oxidase subunit Vb"
"PF01216","Calsequestrin"
"PF01217","Clathrin adaptor complex small chain"
"PF01218","Coproporphyrinogen III oxidase"
"PF01220","Dehydroquinase class II"
"PF01221","Dynein light chain type 1"
"PF01222","Ergosterol biosynthesis ERG4/ERG24 family"
"PF01223","DNA/RNA non-specific endonuclease"
"PF01225","Mur_ligase"
"PF01226","Formate/nitrite transporter"
"PF01227","GTP cyclohydrolase I"
"PF01228","Gly_radical"
"PF01229","Glyco_hydro_39"
"PF01230","HIT domain"
"PF01231","Indoleamine 2,3-dioxygenase"
"PF01232","Mannitol dehydrogenase Rossmann domain"
"PF01233","Myristoyl-CoA:protein N-myristoyltransferase, N-terminal domain"
"PF01235","Na_Ala_symp"
"PF01237","Oxysterol-binding protein"
"PF01238","Phosphomannose isomerase type I"
"PF01239","Protein prenyltransferase alpha subunit repeat"
"PF01242","6-pyruvoyl tetrahydropterin synthase"
"PF01243","Pyridoxamine 5'-phosphate oxidase"
"PF01244","Membrane dipeptidase (Peptidase family M19)"
"PF01245","Ribosomal protein L19"
"PF01246","Ribosomal protein L24e"
"PF01247","Ribosomal protein L35Ae"
"PF01248","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family"
"PF01249","Ribosomal protein S21e"
"PF01250","Ribosomal protein S6"
"PF01251","Ribosomal protein S7e"
"PF01252","Signal peptidase (SPase) II"
"PF01253","Translation initiation factor SUI1"
"PF01255","Putative undecaprenyl diphosphate synthase"
"PF01256","Carbohydrate kinase"
"PF01257","Thioredoxin-like [2Fe-2S] ferredoxin"
"PF01259","SAICAR synthetase"
"PF01261","Xylose isomerase-like TIM barrel"
"PF01262","Alanine dehydrogenase/PNT, C-terminal domain"
"PF01263","Aldose 1-epimerase"
"PF01264","Chorismate synthase"
"PF01265","Cytochrome c/c1 heme lyase"
"PF01266","FAD dependent oxidoreductase"
"PF01267","F-actin capping protein alpha subunit"
"PF01268","Formate--tetrahydrofolate ligase"
"PF01269","Fibrillarin"
"PF01270","Glycosyl hydrolases family 8"
"PF01271","Granin"
"PF01272","GreA_GreB"
"PF01273","LBP_BPI_CETP"
"PF01274","Malate synthase"
"PF01276","OKR_DC_1"
"PF01277","Oleosin"
"PF01280","Ribosomal protein L19e"
"PF01281","Ribosomal protein L9, N-terminal domain"
"PF01282","Ribosomal protein S24e"
"PF01283","Ribosomal protein S26e"
"PF01284","Membrane-associating domain"
"PF01285","TEA/ATTS domain family"
"PF01286","XPA protein N-terminal"
"PF01287","Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold"
"PF01288","7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)"
"PF01290","Thymosin"
"PF01292","Ni_hydr_CYTB"
"PF01293","Phosphoenolpyruvate carboxykinase"
"PF01294","Ribosomal protein L13e"
"PF01296","Galanin"
"PF01297","SBP_bac_9"
"PF01299","Lamp"
"PF01300","Telomere recombination"
"PF01301","Glycosyl hydrolases family 35"
"PF01302","CAP-Gly domain"
"PF01303","Egg_lysin"
"PF01305","Ribosomal_L15"
"PF01306","LacY proton/sugar symporter"
"PF01310","Adeno_PVIII"
"PF01311","Bac_export_1"
"PF01312","Bac_export_2"
"PF01315","Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain"
"PF01316","Arginine repressor, DNA binding domain"
"PF01321","Creatinase/Prolidase N-terminal domain"
"PF01323","DSBA-like thioredoxin domain"
"PF01325","Fe_dep_repress"
"PF01326","PPDK_N"
"PF01327","Polypeptide deformylase"
"PF01328","Peroxidase, family 2"
"PF01329","Pterin 4 alpha carbinolamine dehydratase"
"PF01331","mRNA capping enzyme, catalytic domain"
"PF01333","Apocytochrome F, C-terminal"
"PF01336","OB-fold nucleic acid binding domain"
"PF01337","Barstar (barnase inhibitor)"
"PF01338","Bacillus thuringiensis toxin"
"PF01339","CheB_methylest"
"PF01341","Glycosyl hydrolases family 6"
"PF01343","Peptidase_S49"
"PF01344","Kelch motif"
"PF01346","FKBP_N"
"PF01347","Vitellogenin_N"
"PF01348","Intron_maturas2"
"PF01351","Ribonuclease HII"
"PF01352","KRAB"
"PF01353","Green fluorescent protein"
"PF01357","Pollen allergen"
"PF01358","PARP_regulatory"
"PF01360","HMMPfam"
"PF01361","Tautomerase"
"PF01363","FYVE zinc finger"
"PF01364","Peptidase family C25"
"PF01365","RIH domain"
"PF01367","5_3_exonuc"
"PF01368","DHH family"
"PF01369","Sec7 domain"
"PF01370","NAD dependent epimerase/dehydratase family"
"PF01371","Trp_repressor"
"PF01373","Glycosyl hydrolase family 14"
"PF01374","Glycosyl hydrolase family 46"
"PF01375","Enterotoxin_a"
"PF01379","Porphobilinogen deaminase, dipyromethane cofactor binding domain"
"PF01380","SIS domain"
"PF01381","Helix-turn-helix"
"PF01382","Avidin family"
"PF01384","Phosphate transporter family"
"PF01385","Transposase_2"
"PF01386","Ribosomal_L25p"
"PF01387","Synuclein"
"PF01388","ARID/BRIGHT DNA binding domain"
"PF01391","Collagen"
"PF01392","Fz domain"
"PF01393","Chromo shadow domain"
"PF01394","Clathrin_propel"
"PF01395","PBP_GOBP"
"PF01396","zf-C4_Topoisom"
"PF01397","Terpene_synth"
"PF01398","JAB1/Mov34/MPN/PAD-1 ubiquitin protease"
"PF01399","PCI domain"
"PF01400","Astacin (Peptidase family M12A)"
"PF01401","Peptidase_M2"
"PF01402","Ribbon-helix-helix protein, copG family"
"PF01403","Sema domain"
"PF01406","tRNA synthetases class I (C) catalytic domain"
"PF01408","Oxidoreductase family, NAD-binding Rossmann fold"
"PF01409","tRNA synthetases class II core domain (F)"
"PF01411","tRNA synthetases class II (A)"
"PF01412","Putative GTPase activating protein for Arf"
"PF01413","C4"
"PF01416","tRNA pseudouridine synthase"
"PF01417","ENTH domain"
"PF01418","HTH_6"
"PF01419","Jacalin-like lectin domain"
"PF01420","Methylase_S"
"PF01421","\N"
"PF01422","zf-NF-X1"
"PF01423","LSM domain"
"PF01424","R3H domain"
"PF01425","Amidase"
"PF01426","BAH domain"
"PF01427","Peptidase_M15"
"PF01428","AN1-like Zinc finger"
"PF01429","Methyl-CpG binding domain"
"PF01430","HSP33"
"PF01431","Peptidase family M13"
"PF01432","Peptidase family M3"
"PF01433","Peptidase family M1"
"PF01434","Peptidase family M41"
"PF01435","Peptidase family M48"
"PF01436","NHL"
"PF01437","Plexin repeat"
"PF01441","Lipoprotein_6"
"PF01442","Apolipoprotein A1/A4/E domain"
"PF01443","Viral (Superfamily 1) RNA helicase"
"PF01446","Rep_1"
"PF01447","Thermolysin metallopeptidase, catalytic domain"
"PF01448","ELM2"
"PF01450","Acetohydroxy acid isomeroreductase, catalytic domain"
"PF01451","Low molecular weight phosphotyrosine protein phosphatase"
"PF01453","B_lectin"
"PF01454","MAGE family"
"PF01456","Mucin-like glycoprotein"
"PF01457","Leishmanolysin"
"PF01458","UPF0051"
"PF01459","Eukaryotic porin"
"PF01461","7tm_4"
"PF01463","LRRCT"
"PF01464","Lytic transglycosylase-like, catalytic"
"PF01465","GRIP domain"
"PF01466","Skp1 family, dimerisation domain"
"PF01467","Cytidylyltransferase"
"PF01469","Pentapeptide_2"
"PF01470","Pyroglutamyl peptidase"
"PF01471","Putative peptidoglycan binding domain"
"PF01472","PUA domain"
"PF01473","CW_binding_1"
"PF01474","Class-II DAHP synthetase family"
"PF01475","FUR"
"PF01476","LysM domain"
"PF01477","PLAT/LH2 domain"
"PF01478","Peptidase_A24"
"PF01479","S4 domain"
"PF01480","PWI domain"
"PF01483","Proprotein convertase P-domain"
"PF01484","Col_cuticle_N"
"PF01485","IBR domain"
"PF01486","K-box"
"PF01487","Type I 3-dehydroquinase"
"PF01488","Shikimate / quinate 5-dehydrogenase"
